FirstByte	LastByte	Type	Compressed	Extracted	Description	Modified
000000	0001FF	ROM	No	NA	ROM Format Header	4/22/2003
000200	00C7C0	CODE	No	NA	Unknown routines	4/23/2003
00C7C1			No	No		4/28/2003
00CB8A	00F3A5	CODE	No	NA	Unknown routines	4/28/2003
00F3A6			No	No		4/28/2003
00F4F0	00F4FF	---	No	NA	UNUSED SPACE (16 bytes)	4/28/2003
00F500			No	No		4/28/2003
010100	010106	CODE	No	NA	Entry point in SMC (finish w/ jump to 3DC000)	4/22/2003
010107			No	No		4/22/2003
0101C0	0101D4	ROM	No	NA	ROM Title (ASCII)	4/22/2003
0101D5	0101D5	ROM	No	NA	"ROM Makeup (Speed & Bank Size) - Value: Fast, Hi"	4/22/2003
0101D6	0101D6	ROM	No	NA	Rom Type - Value: ROM and SRAM	4/22/2003
0101D7	0101D7	ROM	No	NA	Rom Size - Value: 32 megabit	4/22/2003
0101D8	0101D8	ROM	No	NA	SRAM size - Value: 64k	4/22/2003
0101D9	0101D9	ROM	No	NA	Country code - Value: USA	4/22/2003
0101DA	0101DA	ROM	No	NA	License - Value: Sunsoft(?)	4/22/2003
0101DB	0101DB	ROM	No	NA	Version - Value: 1.0	4/22/2003
0101DC	0101DD	ROM	No	NA	Inverse Checksum - Value: 8773	4/22/2003
0101DE	0101DF	ROM	No	NA	Checksum - Value: 788C	4/22/2003
0101E0			No	No		4/22/2003
0101EA	0101EB	ROM	No	NA	NMI Vector (value: FF10)	4/22/2003
0101FC	0101FD	ROM	No	NA	Reset Vector - Value: FF00	4/22/2003
0101FE			No	No		4/22/2003
010200	0201A5	CODE	No	NA	Unknown routines	4/28/2003
0201A6			No	No		4/28/2003
020200	023CEE	CODE	No	NA	Unknown routines	4/28/2003
023CEF			No	No		4/28/2003
025828	0261D7	CODE	No	No	Unknown routines	5/6/2003
0261D8			No	No		5/6/2003
0263BD	026E96	CODE	No	NA	Unknown routines	5/6/2003
026E97			No	No		5/6/2003
026EC1	02712C	CODE	No	NA	Unknown routines	5/6/2003
02712D			No	No		5/6/2003
02774D	027FE3	CODE	No	NA	Unknown routines	5/6/2003
027FE4	0281FF	---	No	NA	UNUSED SPACE (540 bytes)	5/22/2003
028200	029BC9	CODE	No	NA	Unknown routines	5/6/2003
029BCA			No	No		5/6/2003
02C711	02C747	CODE	No	NA	Unknown routines	5/6/2003
02C748			No	No		5/6/2003
02D356	02D528	CODE	No	NA	Unknown routines	5/6/2003
02D529			No	No		5/6/2003
02E3ED	02FDB3	CODE	No	NA	Unknown routines	5/6/2003
02FDB4			No	No		5/6/2003
030200	0303E3	CODE	No	NA	Unknown routines	5/6/2003
0303E4			No	No		5/6/2003
030757	030AB2	CODE	No	NA	Decompression routine	6/19/2003
030AB3	030E28	CODE	No	NA	Unknown routines	6/19/2003
030E29			No	No		5/6/2003
038D6C	03D043	???	Yes	No	Unknown data (8 packets)	7/2/2003
03D044	03E1FF	PAL	Yes	No	Map palettes?	6/30/2003
03E200	03E34B	PTR	No	No	"Pointers to unknown data (+030200, first at 03E34C)"	6/30/2003
03E34C	040109	???	No	No	Unknown data	6/30/2003
04010A	0401FF	---	No	No	UNUSED SPACE (246 bytes)	6/30/2003
040200	059C55	GFX	Yes	No	Map tiles	6/30/2003
059C56	05B313	GFX	Yes	No	Character map sprites	6/30/2003
05B314	05B997	GFX	Yes	No	Epoch map sprites	6/30/2003
05B998	05C8EC	GFX	Yes	No	Lavos map sprites	6/30/2003
05C8ED	05CF20	GFX	Yes	No	Black Omen map sprites	6/30/2003
05CF21	05D796	GFX	Yes	No	"Boat, vortex, balloon, etc"	6/30/2003
05D797	05DA0A	GFX	Yes	No	Unknown map sprites	6/30/2003
05DA0B	05DC87	GFX	Yes	No	Unknown map sprites	6/30/2003
05DC88	05E2F6	GFX	Yes	No	"Bird, years, Epoch, and misc"	6/30/2003
05E2F7	05ECAE	GFX	Yes	No	"Top of Magus's castle, some other stuff"	6/30/2003
05ECAF	05EF13	GFX	Yes	No	Unknown map sprites	6/30/2003
05EF14	0601FF	GFX	Yes	No	Dactyl	6/30/2003
060200	0609B5	GFX	Yes	No	Mt Woe?	6/30/2003
0609B6	061099	GFX	Yes	No	Unknown map sprites	6/30/2003
06109A	062072	GFX	Yes	No	Deteriorating Zeal	6/30/2003
062073	0621FF	---	No	No	UNUSED SPACE (397 bytes)	7/2/2003
062200	062610	???	Yes	No	Unknown data (2 byte aligned)	7/2/2003
062611	062BEB	???	Yes	No	Unknown data (8 packets)	7/2/2003
062BEC	066C38	???	Yes	No	Unknown data	7/1/2003
066C39	067B3E	MAP	Yes	No	1000 AD Map	7/3/2003
067B3F	068AFD	MAP	Yes	No	600 AD Map	7/3/2003
068AFE	0692D6	MAP	Yes	No	1999 AD Map	7/3/2003
0692D7	069C88	MAP	Yes	No	2300 AD Map	7/3/2003
069C89	06AD74	MAP	Yes	No	63 million BC Map	7/3/2003
06AD75	06BCC4	MAP	Yes	No	12000 BC Map	7/3/2003
06BCC5	06C556	MAP	Yes	No	11999 BC Map	7/3/2003
06C557	06C9F6	MAP	Yes	No	Kingdom of Zeal Map	7/3/2003
06C9F7	06D60F	???	Yes	No	"Unknown data (6 packets, 64 byte aligned?)"	7/1/2003
06D610	06DC75	???	Yes	No	"Unknown data (7 packets, 32 byte aligned?)"	7/1/2003
06DC76	06E105	???	Yes	No	"Unknown data (3 packets, 48 byte aligned?)"	7/2/2003
06E105	06E1FF	---	No	No	UNUSED SPACE (251 bytes)	7/2/2003
06E200			No	No		7/2/2003
06F200	06F518	TXT	No	No	Location names (Huffman compressed)	5/22/2003
06F519	06F5FF	TXT	No	No	Years text (Huffman compressed)	5/22/2003
06F600	06F6D3	PTR	No	No	Location name pointers	5/22/2003
06F6D4	06F6FF	PTR	No	No	Years text pointers	5/22/2003
06F700			No	No		5/22/2003
06FE50	06FEFF	---	No	No	UNUSED SPACE (176 bytes)	7/2/2003
06FF00	06FF0F	PTR	No	No	"Pointers to unknown data (+060200, first at 06FF10)"	5/22/2003
06FF10	06FFEF	???	No	No	Unknown 24 byte data	5/22/2003
06FFF0	07001F	PTR	No	No	Pointers to map sprite graphics (first at 059C56)	6/30/2003
070020	07009F	PTR	No	No	Pointers to map tiles (first at 040200)	6/30/2003
0700A0	0700FF	PTR	No	No	Pointers to map palettes (first at 03D044)	6/30/2003
070100	07011F	PTR	No	No	Pointers to unknown data (first at 062BEC)	6/30/2003
070120	07013F	PTR	No	No	Pointers to overworld maps (first at 066C39)	7/1/2003
070140	07017F	PTR	No	No	Pointers to unknown data (first at 06C9F7)	7/1/2003
070180	07019F	PTR	No	No	Pointers to unknown data (first at 06D610)	7/1/2003
0701A0	0701BF	PTR	No	No	Pointers to unknown data (first at 06DC76)	7/2/2003
0701C0	0701DF	PTR	No	No	Pointers to unknown data (first at 062611)	7/2/2003
